EntrezID	Prediction	Score	GeneSymbol
6237	UPS	0.5495	RRAS
26268	Intracellular	0.9334	FBXO9
9415	UPS	0.5238	FADS2
51421	Intracellular	0.8796	AMOTL2
58504	Intracellular	0.8795	ARHGAP22
9590	Intracellular	0.6344	AKAP12
2947	UPS	0.5736	GSTM3
813	Signal-peptide	0.8116	CALU
1036	Intracellular	0.5496	CDO1
9910	Intracellular	0.5192	RABGAP1L
57498	Intracellular	0.6526	KIDINS220
5270	Signal-peptide	0.8945	SERPINE2
10468	Signal-peptide	0.9995	FST
3337	Intracellular	0.9327	DNAJB1
56986	UPS	0.6162	DTWD1
5176	Signal-peptide	0.9496	SERPINF1
29767	UPS	0.5129	TMOD2
5740	Signal-peptide	0.6595	PTGIS
5157	Signal-peptide	0.9483	PDGFRL
4907	Signal-peptide	0.888	NT5E
3910	Signal-peptide	0.9877	LAMA4
1593	Intracellular	0.5483	CYP27A1
324	Intracellular	0.8042	APC
4853	Signal-peptide	0.9996	NOTCH2
8425	Intracellular	0.8094	LTBP4
3671	Signal-peptide	0.994	ISLR
54832	UPS	0.5007	VPS13C
9201	Intracellular	0.569	DCLK1
5156	Signal-peptide	0.697	PDGFRA
53947	Transmembrane	0.9126	A4GALT
6238	Transmembrane	0.9434	RRBP1
4035	Signal-peptide	0.9707	LRP1
10875	Signal-peptide	0.5112	FGL2
10955	Signal-peptide	0.5297	SERINC3
80303	Intracellular	0.9345	EFHD1
8615	Intracellular	0.6374	USO1
57561	Intracellular	0.6983	ARRDC3
8654	Intracellular	0.5025	PDE5A
7077	Signal-peptide	0.9501	TIMP2
2192	Signal-peptide	0.9549	FBLN1
10000	Intracellular	0.5629	AKT3
3977	Transmembrane	0.4457	LIFR
3685	Signal-peptide	0.492	ITGAV
29904	Intracellular	0.5474	EEF2K
2247	Intracellular	0.9345	FGF2
217	Intracellular	0.5494	ALDH2
5802	Signal-peptide	0.8824	PTPRS
7078	Signal-peptide	0.933	TIMP3
10099	Transmembrane	0.9974	TSPAN3
862	Intracellular	0.8798	RUNX1T1
1956	Signal-peptide	0.9073	EGFR
30061	Transmembrane	0.8807	SLC40A1
22872	Signal-peptide	0.8098	SEC31A
1889	Intracellular	0.5617	ECE1
3959	Signal-peptide	0.9824	LGALS3BP
5159	Signal-peptide	0.9511	PDGFRB
9194	Transmembrane	0.9422	SLC16A7
3290	Signal-peptide	0.5887	HSD11B1
9728	Intracellular	0.6826	SECISBP2L
55023	Intracellular	0.7656	PHIP
54511	UPS	0.5635	HMGCLL1
10130	Signal-peptide	0.7948	PDIA6
400	UPS	0.5667	ARL1
1060	Intracellular	0.5868	CENPC
57509	Intracellular	0.6791	MTUS1
2549	Intracellular	0.6468	GAB1
10351	Signal-peptide	0.582	ABCA8
590	Signal-peptide	0.9975	BCHE
4060	Signal-peptide	0.9305	LUM
25864	Signal-peptide	0.6338	ABHD14A
80114	Intracellular	0.5251	BICC1
54947	Transmembrane	0.5222	LPCAT2
975	Transmembrane	0.9664	CD81
5037	UPS	0.5527	PEBP1
54816	Intracellular	0.747	ZNF280D
5033	Signal-peptide	0.7052	P4HA1
1462	Signal-peptide	0.5487	VCAN
51279	Signal-peptide	0.4727	C1RL
4053	Signal-peptide	0.7044	LTBP2
57562	Intracellular	0.5661	CEP126
23543	Intracellular	0.6236	RBFOX2
59342	Signal-peptide	0.9496	SCPEP1
2252	Signal-peptide	0.5038	FGF7
1580	Transmembrane	0.9056	CYP4B1
10154	Signal-peptide	0.7614	PLXNC1
10550	Transmembrane	0.9475	ARL6IP5
79817	UPS	0.5708	MOB3B
287	Intracellular	0.5285	ANK2
9936	Signal-peptide	0.9995	CD302
26118	Intracellular	0.5459	WSB1
26092	Intracellular	0.8796	TOR1AIP1
7474	Transmembrane	0.6822	WNT5A
130497	UPS	0.5521	OSR1
53826	Transmembrane	0.7135	FXYD6
54806	Intracellular	0.6655	AHI1
10217	UPS	0.5508	CTDSPL
57333	Signal-peptide	0.9993	RCN3
5168	Transmembrane	0.5337	ENPP2
80854	UPS	0.5138	SETD7
9321	Intracellular	0.6847	TRIP11
10516	Signal-peptide	0.9567	FBLN5
90	Signal-peptide	0.89	ACVR1
23471	Transmembrane	0.9613	TRAM1
57134	UPS	0.5238	MAN1C1
29899	Intracellular	0.5713	GPSM2
51433	UPS	0.5001	ANAPC5
57007	Transmembrane	0.9989	ACKR3
1295	Transmembrane	0.5117	COL8A1
122953	Intracellular	0.9345	JDP2
57569	Intracellular	0.7161	ARHGAP20
2549	Intracellular	0.6466	GAB1
10349	UPS	0.5212	ABCA10
6720	Intracellular	0.5776	SREBF1
55194	Transmembrane	0.9927	EVA1B
1513	Signal-peptide	0.7701	CTSK
390	UPS	0.5513	RND3
1295	Transmembrane	0.5117	COL8A1
55830	Transmembrane	0.5671	GLT8D1
10010	Intracellular	0.5788	TANK
50507	Transmembrane	0.8893	NOX4
10457	Signal-peptide	0.9931	GPNMB
27314	UPS	0.5243	RAB30
4969	Signal-peptide	0.9978	OGN
5310	Signal-peptide	0.952	PKD1
83478	Intracellular	0.5682	ARHGAP24
4811	Signal-peptide	0.9128	NID1
91653	Signal-peptide	0.7009	BOC
27332	Intracellular	0.5699	ZNF638
84162	Transmembrane	0.9378	KIAA1109
55885	UPS	0.5506	LMO3
950	Transmembrane	0.6705	SCARB2
64397	Intracellular	0.6451	ZNF106
26022	Transmembrane	0.8013	TMEM98
8763	Signal-peptide	0.73740000000000006	CD164
27303	Intracellular	0.6978	RBMS3
10144	Intracellular	0.5725	FAM13A
6095	Intracellular	0.5665	RORA
2052	Transmembrane	0.6976	EPHX1
23469	Intracellular	0.6666	PHF3
9353	Signal-peptide	0.9006	SLIT2
51133	Intracellular	0.78	KCTD3
6717	UPS	0.538	SRI
51449	Signal-peptide	0.9562	PCYOX1
25800	Signal-peptide	0.9577	SLC39A6
3074	Transmembrane	0.6114	HEXB
216	UPS	0.523	ALDH1A1
9322	Intracellular	0.8798	TRIP10
79974	Transmembrane	0.9292	CPED1
10417	Signal-peptide	0.7905	SPON2
3603	Intracellular	0.5874	IL16
231	UPS	0.6368	AKR1B1
54756	Intracellular	0.7123	IL17RD
7068	Intracellular	0.5004	THRB
25960	Signal-peptide	0.9868	ADGRA2
57509	Intracellular	0.7317	MTUS1
1240	Transmembrane	0.964	CMKLR1
64859	UPS	0.5814	"NABP1"
55885	UPS	0.5501	LMO3
1278	Signal-peptide	0.9729	COL1A2
112476	UPS	0.5716	PRRT2
7423	Signal-peptide	0.993	VEGFB
23371	Intracellular	0.5862	TNS2
57498	Intracellular	0.546	KIDINS220
23635	Intracellular	0.5557	SSBP2
2199	Intracellular	0.6084	FBLN2
5648	Signal-peptide	0.9113	MASP1
5066	Signal-peptide	0.7469	PAM
5786	Signal-peptide	0.9982	PTPRA
23017	UPS	0.6183	FAIM2
8411	Intracellular	0.6835	EEA1
3643	Signal-peptide	0.7316	INSR
178	Intracellular	0.5457	AGL
9236	Intracellular	0.567	CCPG1
5376	Transmembrane	0.7469	PMP22
1028	Intracellular	0.932	CDKN1C
3176	Intracellular	0.9345	HNMT
84624	Signal-peptide	0.9976	FNDC1
125058	Intracellular	0.8097	TBC1D16
260425	Intracellular	0.5986	MAGI3
130271	Intracellular	0.5604	PLEKHH2
168667	Intracellular	0.7003	BMPER
83742	Transmembrane	0.9243	MARVELD1
9781	UPS	0.6367	RNF144A
23112	Intracellular	0.6807	TNRC6B
51621	Intracellular	0.9345	KLF13
6934	Intracellular	0.661	TCF7L2
23460	Transmembrane	0.8369	ABCA6
5783	Intracellular	0.5612	PTPN13
257194	Intracellular	0.551	NEGR1
115290	Intracellular	0.9343	FBXO17
123803	UPS	0.5508	NTAN1
493869	Transmembrane	0.9987	GPX8
9871	Intracellular	0.523	SEC24D
4054	Signal-peptide	0.7198	LTBP3
120892	UPS	0.5007	LRRK2
9648	Intracellular	0.5258	GCC2
5591	Intracellular	0.565	PRKDC
3479	Signal-peptide	0.55	IGF1
1601	Intracellular	0.6776	DAB2
127435	Signal-peptide	0.958	PODN
2353	Intracellular	0.6982	FOS
6383	Signal-peptide	0.9973	SDC2
10808	Intracellular	0.6639	HSPH1
80005	Intracellular	0.7164	DOCK5
222068	Signal-peptide	0.7153	TMED4
7373	Transmembrane	0.6427	COL14A1
94134	Intracellular	0.5457	ARHGAP12
1176	UPS	0.5953	AP3S1
54899	Intracellular	0.7163	PXK
25	Intracellular	0.5848	ABL1
57142	UPS	0.5155	RTN4
4046	UPS	0.6083	LSP1
23102	Intracellular	0.5516	TBC1D2B
9322	Intracellular	0.8664	TRIP10
27327	Intracellular	0.6807	TNRC6A
94031	Signal-peptide	0.9991	HTRA3
1292	Signal-peptide	0.9623	COL6A2
3790	Intracellular	0.6441	KCNS3
221091	Signal-peptide	0.9335	LRRN4CL
118429	Signal-peptide	0.7907	ANTXR2
284	Signal-peptide	0.9316	ANGPT1
817	Intracellular	0.5436	CAMK2D
9415	UPS	0.5236	FADS2
50809	Intracellular	0.6045	HP1BP3
947	Signal-peptide	0.7102	CD34
114757	Intracellular	0.594	CYGB
134147	UPS	0.6368	CMBL
57188	Signal-peptide	0.6363	ADAMTSL3
710	Signal-peptide	0.9997	SERPING1
261729	Intracellular	0.5454	STEAP2
9975	Intracellular	0.566	NR1D2
125	UPS	0.5325	ADH1B
79689	UPS	0.6182	STEAP4
3069	Intracellular	0.7205	HDLBP
1831	UPS	0.521	TSC22D3
9902	Signal-peptide	0.9128	MRC2
5033	Signal-peptide	0.7052	P4HA1
55323	Intracellular	0.7907	LARP6
64859	UPS	0.5355	"NABP1"
55251	Intracellular	0.5576	PCMTD2
80310	Signal-peptide	0.7499	PDGFD
23371	Intracellular	0.5862	TNS2
55084	Intracellular	0.5579	SOBP
7048	Signal-peptide	0.6853	TGFBR2
57489	Intracellular	0.5237	ODF2L
92126	Signal-peptide	0.9243	DSEL
146556	Signal-peptide	0.9953	C16orf89
9520	Intracellular	0.5399	NPEPPS
55251	UPS	0.6182	PCMTD2
4054	Signal-peptide	0.7198	LTBP3
83871	UPS	0.5367	RAB34
124565	Transmembrane	0.8886	SLC38A10
6596	Intracellular	0.546	HLTF
6095	Intracellular	0.566	RORA
23589	UPS	0.5329	CARHSP1
22801	Signal-peptide	0.6842	ITGA11
1163	UPS	0.5549	CKS1B
128	UPS	0.5351	ADH5
152503	Intracellular	0.5842	SH3D19
901	Intracellular	0.5526	CCNG2
5586	Intracellular	0.569	PKN2
1432	UPS	0.552	MAPK14
5295	Intracellular	0.5853	PIK3R1
114793	Intracellular	0.5684	FMNL2
6695	UPS	0.5269	SPOCK1
8425	Signal-peptide	0.9997	LTBP4
196463	Transmembrane	0.6818	PLBD2
831	Intracellular	0.765	CAST
1293	Signal-peptide	0.763	COL6A3
83439	Intracellular	0.6807	TCF7L1
57381	UPS	0.615	RHOJ
558	Signal-peptide	0.8543	AXL
23179	Intracellular	0.5459	RGL1
5092	UPS	0.5696	PCBD1
3899	Intracellular	0.5873	AFF3
120	Intracellular	0.5661	ADD3
57798	UPS	0.6149	GATAD1
387758	UPS	0.5445	FIBIN
116987	Intracellular	0.5835	AGAP1
57519	Intracellular	0.5872	STARD9
7373	Transmembrane	0.6427	COL14A1
8763	Signal-peptide	0.73740000000000006	CD164
5547	Signal-peptide	0.9527	PRCP
25890	Signal-peptide	0.7314	ABI3BP
8675	Intracellular	0.9344	STX16
23389	UPS	0.5017	MED13L
79188	Transmembrane	0.9085	TMEM43
8853	Intracellular	0.5015	ASAP2
1879	Intracellular	0.719	EBF1
54756	Signal-peptide	0.4808	IL17RD
51422	Intracellular	0.5668	PRKAG2
667	Intracellular	0.6643	DST
3913	Signal-peptide	0.9109	LAMB2
3667	Intracellular	0.7343	IRS1
8853	Intracellular	0.5073	ASAP2
4131	Intracellular	0.5237	MAP1B
1292	Signal-peptide	0.9623	COL6A2
54495	Intracellular	0.5915	TMX3
4212	UPS	0.6018	MEIS2
4915	Signal-peptide	0.6734	NTRK2
1808	Intracellular	0.6988	DPYSL2
56898	UPS	0.553	BDH2
107	Transmembrane	0.5949	ADCY1
26512	Intracellular	0.5682	INTS6
54477	Intracellular	0.7353	PLEKHA5
64110	Intracellular	0.9328	MAGEF1
57489	Intracellular	0.5257	ODF2L
4915	Signal-peptide	0.6734	NTRK2
8722	Signal-peptide	0.9924	CTSF
8648	Intracellular	0.6378	NCOA1
400986	Intracellular	0.589	ANKRD36C
22925	Signal-peptide	0.9974	PLA2R1
79901	Transmembrane	0.9974	CYBRD1
83987	Intracellular	0.8798	CCDC8
2199	Signal-peptide	0.9026	FBLN2
57125	Signal-peptide	0.9264	PLXDC1
873	UPS	0.5502	CBR1
26060	Intracellular	0.6667	APPL1
116039	UPS	0.5414	OSR2
22905	Intracellular	0.7252	EPN2
4239	Signal-peptide	0.9983	MFAP4
90313	Signal-peptide	0.9225	TP53I13
5866	Intracellular	0.8663	RAB3IL1
22872	UPS	0.5188	SEC31A
84162	Intracellular	0.5459	KIAA1109
2752	Intracellular	0.5391	GLUL
56944	Signal-peptide	0.8662	OLFML3
153222	Intracellular	0.5191	CREBRF
2200	Signal-peptide	0.9419	FBN1
201895	Transmembrane	0.9992	SMIM14
10956	Signal-peptide	0.9964	OS9
27333	Transmembrane	0.9408	GOLIM4
81603	Intracellular	0.567	TRIM8
133	Signal-peptide	0.8983	ADM
151613	Intracellular	0.8641	TTC14
54511	UPS	0.5635	HMGCLL1
874	Intracellular	0.9343	CBR3
5562	Intracellular	0.6138	PRKAA1
3176	UPS	0.6368	HNMT
54587	Signal-peptide	0.9265	MXRA8
8324	Signal-peptide	0.9866	FZD7
5641	Signal-peptide	0.8952	LGMN
5786	Signal-peptide	0.9982	PTPRA
54899	Intracellular	0.7162	PXK
55022	UPS	0.6335	PID1
10142	Intracellular	0.6016	AKAP9
3570	Signal-peptide	0.948	IL6R
7328	Intracellular	0.5177	UBE2H
2752	Intracellular	0.5391	GLUL
8720	Signal-peptide	0.9986	MBTPS1
54806	Intracellular	0.6655	AHI1
2335	Signal-peptide	0.7896	FN1
4035	Signal-peptide	0.9707	LRP1
57404	Signal-peptide	0.5589	CYP20A1
29015	Transmembrane	0.8823	SLC43A3
2052	Transmembrane	0.6976	EPHX1
27020	Signal-peptide	0.9351	NPTN
4519	Transmembrane	0.9241	CYTB
27020	Signal-peptide	0.9601	NPTN
144165	Intracellular	0.6267	PRICKLE1
2752	Intracellular	0.5391	GLUL
9265	Intracellular	0.8533	CYTH3
9910	Transmembrane	0.879	RABGAP1L
54806	Intracellular	0.5435	AHI1
1066	Signal-peptide	0.7268	CES1
79632	Intracellular	0.6637	FAM184A
83468	Transmembrane	0.5049	GLT8D2
1066	Signal-peptide	0.7185	CES1
51474	Intracellular	0.6839	LIMA1
56288	Intracellular	0.8798	PARD3
5136	UPS	0.5029	PDE1A
128553	Intracellular	0.5013	TSHZ2
4926	Intracellular	0.7344	NUMA1
1893	Signal-peptide	0.8762	ECM1
4915	Signal-peptide	0.6734	NTRK2
22920	Intracellular	0.5803	KIFAP3
2260	Intracellular	0.7178	FGFR1
94134	Intracellular	0.5457	ARHGAP12
10000	Intracellular	0.5455	AKT3
619279	Intracellular	0.5431	ZNF704
185	Transmembrane	0.9961	AGTR1
716	Signal-peptide	0.9264	C1S
7587	Intracellular	0.5026	ZNF37A
273	Intracellular	0.5043	AMPH
3075	Signal-peptide	0.9618	CFH
947	Transmembrane	0.8084	CD34
60487	Intracellular	0.6487	TRMT11
4535	Transmembrane	0.6337	ND1
9019	Transmembrane	0.58	MPZL1
2328	UPS	0.5214	FMO3
10659	Intracellular	0.5198	CELF2
7267	Intracellular	0.5141	TTC3
8675	Intracellular	0.9327	STX16
58526	UPS	0.6334	MID1IP1
8863	Intracellular	0.5758	PER3
283	Signal-peptide	0.9938	ANG
122786	Intracellular	0.5687	FRMD6
4254	Signal-peptide	0.7686	KITLG
10810	Intracellular	0.5894	WASF3
9961	Intracellular	0.8044	MVP
200734	Intracellular	0.9329	SPRED2
5789	Signal-peptide	0.9793	PTPRD
5549	Signal-peptide	0.9773	PRELP
55323	Intracellular	0.9343	LARP6
10725	Intracellular	0.6028	NFAT5
114883	UPS	0.5214	OSBPL9
131566	Signal-peptide	0.9382	DCBLD2
4287	UPS	0.5947	ATXN3
55103	UPS	0.5187	RALGPS2
667	Intracellular	0.6764	DST
23127	Signal-peptide	0.9582	COLGALT2
5069	Signal-peptide	0.9829	PAPPA
64856	Signal-peptide	0.9381	VWA1
1303	Signal-peptide	0.848	COL12A1
1902	Transmembrane	0.9961	LPAR1
5789	Signal-peptide	0.9793	PTPRD
5396	Intracellular	0.9345	PRRX1
23127	Intracellular	0.7082	COLGALT2
4311	Transmembrane	0.9839	MME
2621	Signal-peptide	0.7666	GAS6
831	Intracellular	0.765	CAST
3643	Signal-peptide	0.7316	INSR
6934	Intracellular	0.584	TCF7L2
3516	Intracellular	0.6991	RBPJ
252839	Signal-peptide	0.9787	TMEM9
3090	Intracellular	0.7316	HIC1
781	Signal-peptide	0.8446	CACNA2D1
817	Intracellular	0.5436	CAMK2D
54510	Signal-peptide	0.4299	PCDH18
10826	Transmembrane	0.987	FAXDC2
56288	Intracellular	0.6681	PARD3
80332	Signal-peptide	0.9995	ADAM33
29940	Signal-peptide	0.982	DSE
6603	Intracellular	0.8798	SMARCD2
9612	Intracellular	0.734	NCOR2
27030	Intracellular	0.5668	MLH3
4155	Intracellular	0.9345	MBP
4926	Intracellular	0.8161	NUMA1
7058	Signal-peptide	0.9986	THBS2
6645	Intracellular	0.9345	SNTB2
23646	Transmembrane	0.9985	PLD3
6720	Intracellular	0.5776	SREBF1
23179	Intracellular	0.566	RGL1
252839	Signal-peptide	0.9265	TMEM9
118429	Signal-peptide	0.7907	ANTXR2
23112	Intracellular	0.6807	TNRC6B
439921	Signal-peptide	0.6679	MXRA7
4540	Transmembrane	0.7451	ND5
178	Intracellular	0.5457	AGL
5337	Intracellular	0.5489	PLD1
4212	Intracellular	0.6781	MEIS2
26118	UPS	0.5712	WSB1
3516	Intracellular	0.6971	RBPJ
961	Signal-peptide	0.7883	CD47
1462	Signal-peptide	0.5487	VCAN
56987	Intracellular	0.5808	BBX
63939	Intracellular	0.7419	FAM217B
6925	Intracellular	0.5886	TCF4
253738	Intracellular	0.7188	EBF3
6711	Intracellular	0.7359	SPTBN1
9068	Signal-peptide	0.8758	ANGPTL1
81617	UPS	0.6135	CAB39L
6238	Transmembrane	0.9434	RRBP1
9867	Intracellular	0.6945	PJA2
2335	Signal-peptide	0.7896	FN1
10000	Intracellular	0.5624	AKT3
9201	Intracellular	0.5729	DCLK1
710	Signal-peptide	0.9997	SERPING1
80332	Signal-peptide	0.9995	ADAM33
64094	Signal-peptide	0.9047	SMOC2
79710	Intracellular	0.5682	MORC4
23127	Intracellular	0.6102	COLGALT2
89796	Intracellular	0.6629	"NAV1"
148741	Intracellular	0.7677	ANKRD35
23321	Intracellular	0.5828	TRIM2
4926	UPS	0.5728	NUMA1
5979	Signal-peptide	0.9212	RET
25925	Intracellular	0.5032	ZNF521
116985	Intracellular	0.7582	ARAP1
22920	Intracellular	0.5803	KIFAP3
3516	Intracellular	0.6991	RBPJ
5087	Intracellular	0.6274	PBX1
54806	UPS	0.5181	AHI1
23032	UPS	0.5212	USP33
55103	UPS	0.6368	RALGPS2
131566	Signal-peptide	0.9382	DCBLD2
5136	Intracellular	0.5455	PDE1A
444	Transmembrane	0.8401	ASPH
8974	Signal-peptide	0.7992	P4HA2
7068	Intracellular	0.5435	THRB
375287	Intracellular	0.536	RBM43
22920	Intracellular	0.5805	KIFAP3
54587	Signal-peptide	0.9197	MXRA8
2260	Signal-peptide	0.9126	FGFR1
64343	UPS	0.5296	AZI2
4763	Intracellular	0.6213	NF1
79659	Intracellular	0.7002	DYNC2H1
677	Intracellular	0.6158	ZFP36L1
4155	Intracellular	0.9345	MBP
9910	Transmembrane	0.7366	RABGAP1L
117248	Signal-peptide	0.5539	GALNT15
4811	Signal-peptide	0.9128	NID1
26471	Intracellular	0.9345	NUPR1
9590	Intracellular	0.6314	AKAP12
5501	UPS	0.5356	PPP1CC
10350	Transmembrane	0.9651	ABCA9
5627	Signal-peptide	0.9867	PROS1
26020	Signal-peptide	0.9998	LRP10
161198	Signal-peptide	0.945	CLEC14A
2309	Intracellular	0.6186	FOXO3
29940	Signal-peptide	0.982	DSE
3516	Intracellular	0.6988	RBPJ
79974	Transmembrane	0.9292	CPED1
309	Intracellular	0.5687	ANXA6
351	Signal-peptide	0.9741	APP
351	Signal-peptide	0.9741	APP
10765	Intracellular	0.5485	KDM5B
6934	Intracellular	0.6956	TCF7L2
5648	Signal-peptide	0.9113	MASP1
4513	Transmembrane	0.9987	COX2
120892	Intracellular	0.5001	LRRK2
376940	Intracellular	0.7162	ZC3H6
3479	Signal-peptide	0.55	IGF1
4915	Signal-peptide	0.6734	NTRK2
5066	Signal-peptide	0.7469	PAM
4287	Intracellular	0.61240000000000006	ATXN3
22872	UPS	0.5096	SEC31A
2260	Signal-peptide	0.9454	FGFR1
89796	Intracellular	0.6624	"NAV1"
8405	UPS	0.5298	SPOP
3516	Intracellular	0.6991	RBPJ
2260	Signal-peptide	0.9489	FGFR1
351	Signal-peptide	0.9741	APP
5937	Intracellular	0.6183	RBMS1
8763	Signal-peptide	0.73740000000000006	CD164
10447	Transmembrane	0.5012	FAM3C
5295	Intracellular	0.5629	PIK3R1
89796	Intracellular	0.6629	"NAV1"
961	Signal-peptide	0.7883	CD47
3290	Signal-peptide	0.5887	HSD11B1
23036	Intracellular	0.5019	ZNF292
81617	UPS	0.6135	CAB39L
10099	Transmembrane	0.9974	TSPAN3
9859	Intracellular	0.6012	CEP170
224	Intracellular	0.5644	ALDH3A2
252839	Signal-peptide	0.9787	TMEM9
287	Intracellular	0.5285	ANK2
6925	Intracellular	0.5873	TCF4
91404	UPS	0.5179	SESTD1
5979	Signal-peptide	0.9212	RET
9867	Intracellular	0.6945	PJA2
5501	UPS	0.5498	PPP1CC
1303	Signal-peptide	0.8641	COL12A1
1889	Signal-peptide	0.5735	ECE1
7060	Signal-peptide	0.8154	THBS4
57515	Transmembrane	0.7011	SERINC1
5066	Signal-peptide	0.7469	PAM
2331	Signal-peptide	0.9694	FMOD
5348	Transmembrane	0.9559	FXYD1
5493	Intracellular	0.8798	PPL
4763	Intracellular	0.6215	NF1
10725	Intracellular	0.6028	NFAT5
10142	Intracellular	0.6019	AKAP9
6934	Intracellular	0.7316	TCF7L2
79718	Intracellular	0.6587	TBL1XR1
7048	Signal-peptide	0.6095	TGFBR2
112476	UPS	0.5723	PRRT2
257194	Signal-peptide	0.8196	NEGR1
4784	Intracellular	0.6985	NFIX
889	UPS	0.5024	KRIT1
9788	Intracellular	0.7337	MTSS1
116987	Intracellular	0.5835	AGAP1
123036	Intracellular	0.544	TC2N
64778	Intracellular	0.5135	FNDC3B
23328	Intracellular	0.5886	SASH1
55103	UPS	0.5809	RALGPS2
57142	Intracellular	0.5215	RTN4
7035	Signal-peptide	0.9053	TFPI
10493	Intracellular	0.5291	VAT1
4155	Intracellular	0.9345	MBP
2947	UPS	0.5736	GSTM3
3075	Signal-peptide	0.9618	CFH
220	Intracellular	0.5642	ALDH1A3
10313	Transmembrane	0.6994	RTN3
10765	Intracellular	0.5485	KDM5B
9547	Signal-peptide	0.9055	CXCL14
55885	UPS	0.5501	LMO3
10313	UPS	0.5982	RTN3
6387	Signal-peptide	0.9081	CXCL12
3320	Transmembrane	0.5839	HSP90AA1
57489	Intracellular	0.5257	ODF2L
1759	Intracellular	0.7185	DNM1
4925	Signal-peptide	0.9099	NUCB2
123036	Intracellular	0.544	TC2N
6586	Signal-peptide	0.9346	SLIT3
10313	Transmembrane	0.6994	RTN3
26224	Intracellular	0.5431	FBXL3
9719	Signal-peptide	0.9999	ADAMTSL2
57142	Intracellular	0.5227	RTN4
351	Signal-peptide	0.9741	APP
359948	Intracellular	0.5883	IRF2BP2
1293	Intracellular	0.6433	COL6A3
9910	UPS	0.5174	RABGAP1L
83871	UPS	0.5712	RAB34
862	Intracellular	0.8796	RUNX1T1
781	Signal-peptide	0.8446	CACNA2D1
1601	Intracellular	0.6773	DAB2
5591	Intracellular	0.566	PRKDC
4857	UPS	0.5756	NOVA1
85456	Intracellular	0.5803	TNKS1BP1
2335	Signal-peptide	0.7896	FN1
